Active,FirstName,LastName,GenderAsString,CantonName,CantonAbbreviation,CouncilName,ParlGroupName,ParlGroupAbbreviation,PartyName,PartyAbbreviation,MaritalStatusText,BirthPlace_City,BirthPlace_Canton,Mandates,DateJoining,DateLeaving,Citizenship,DateOfBirth,DateOfDeath
0,Bonaventura,Baumgartner,m,Solothurn,SO,Nationalrat,Linke,LG,Demokraten,Dem*,,,,,3/8/1875,6/1/1875,Oensingen (SO),8/18/1822,3/4/1884
0,Alfred,Baumgartner,m,St. Gallen,SG,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,3/17/1942,3/20/1944,Mosnang (SG),8/26/1895,3/20/1944
0,Gallus Jakob,Baumgartner,m,St. Gallen,SG,Ständerat,,,Konservative,Kons*,,,,,7/6/1857,6/1/1861,"Rorschach (SG),Altstätten (SG)",10/16/1797,7/12/1869
0,Franz,Baumgartner,m,Zürich,ZH,Nationalrat,Fraktionslos,-,Republikanische und nationale Fraktion,N,,,,,3/5/1979,11/25/1979,Zürich (ZH),8/3/1926,
0,Martin,Bäumle,m,Zürich,ZH,Nationalrat,Grünliberale Fraktion,GL,Grünliberale Partei,glp,,Thalwil,Zürich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,12/5/2011,11/29/2015,"Hombrechtikon (ZH),Zürich (ZH),Dübendorf (ZH)",6/3/1964,
1,Martin,Bäumle,m,Zürich,ZH,Nationalrat,Grünliberale Fraktion,GL,Grünliberale Partei,glp,,Thalwil,Zürich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,11/30/2015,,"Hombrechtikon (ZH),Zürich (ZH),Dübendorf (ZH)",6/3/1964,
0,Martin,Bäumle,m,Zürich,ZH,Nationalrat,Fraktion CVP/EVP/glp,CEg,Grünliberale Partei,glp,,Thalwil,Zürich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,12/3/2007,12/4/2011,"Hombrechtikon (ZH),Zürich (ZH),Dübendorf (ZH)",6/3/1964,
0,Martin,Bäumle,m,Zürich,ZH,Nationalrat,Fraktionslos,-,Grüne Partei der Schweiz,GPS,,Thalwil,Zürich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,12/1/2003,12/2/2007,"Hombrechtikon (ZH),Zürich (ZH),Dübendorf (ZH)",6/3/1964,
0,Martin,Bäumle,m,Zürich,ZH,Nationalrat,Grüne Fraktion,G,Grüne Partei der Schweiz,GPS,,Thalwil,Zürich,Legislative der Gemeinde: von April 1990 bis März 1998; Exekutive der Gemeinde (Stadtrat): seit April 1998; Legislative des Kantons: von Mai 1987 bis Mai 1995 und von Mai 1999 bis Mai 2004,12/1/2003,12/2/2007,"Hombrechtikon (ZH),Zürich (ZH),Dübendorf (ZH)",6/3/1964,
0,Ursula,Bäumlin,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Gemeinde-Legislative von 1984 bis 1987,11/30/1987,12/3/1995,"Bonau (TG),Bern (BE),Zürich (ZH)",5/12/1938,
0,Ursula,Bäumlin,f,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Bern,Bern,Gemeinde-Legislative von 1984 bis 1987,12/4/1995,12/15/1998,"Bonau (TG),Bern (BE),Zürich (ZH)",5/12/1938,
0,Richard,Bäumlin,m,Bern,BE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,9/17/1979,11/26/1989,"Bonau (TG),Zürich (ZH)",9/9/1927,
0,Johann Baptist,Bavier,m,Graubünden,GR,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,11/6/1848,9/19/1856,Chur (GR),10/4/1795,9/19/1856
0,Simeon,Bavier,m,Graubünden,GR,Bundesrat,,,Liberale,Lib*,,,,,12/10/1878,1/5/1883,Chur (GR),9/16/1825,1/27/1896
0,Simeon,Bavier,m,Graubünden,GR,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,12/7/1863,12/1/1878,Chur (GR),9/16/1825,1/27/1896
0,Serge,Beck,m,Waadt,VD,Nationalrat,Liberale Fraktion,L,Liberale Partei der Schweiz,LPS,verheiratet,Genève 8,Genf,"Conseil général/communal Le Vaud de juin 1975 à décembre 1997; Syndic de Le Vaud dès janvier 1998, Grand Conseil vaudois de avril 1986 à décembre 1998",9/28/1998,11/30/2003,Genève (GE),5/20/1955,
0,Carl,Beck,m,Luzern,LU,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/6/1943,12/6/1959,Sursee (LU),1/19/1894,4/22/1982
0,Serge,Beck,m,Waadt,VD,Nationalrat,Freisinnig-demokratische Fraktion,R,Liberale Partei der Schweiz,LPS,verheiratet,Genève 8,Genf,"Conseil général/communal Le Vaud de juin 1975 à décembre 1997; Syndic de Le Vaud dès janvier 1998, Grand Conseil vaudois de avril 1986 à décembre 1998",12/1/2003,12/2/2007,Genève (GE),5/20/1955,
0,Fritz,Beck,m,Zürich,ZH,Nationalrat,Kommunistische Fraktion,Ko,Kommunistische Partei,KP,,,,,12/7/1925,12/2/1928,Sumiswald (BE),11/15/1889,8/24/1985
0,Franz Xaver,Beck,m,Luzern,LU,Nationalrat,,,Konservative,Kons*,,,,,12/6/1869,8/30/1894,Sursee (LU),3/6/1827,8/30/1894
0,Marcel,Beck,m,Zürich,ZH,Nationalrat,Fraktionslos,-,Demokraten,Dem*,,,,,3/1/1965,12/3/1967,Fisibach (AG),4/16/1908,2/17/1986
0,Christine,Beerli,f,Bern,BE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Biel,Bern,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",12/10/1991,12/3/1995,"Thal (SG),Biel (BE)",3/26/1953,
0,Christine,Beerli,f,Bern,BE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Biel,Bern,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",12/4/1995,11/30/2003,"Thal (SG),Biel (BE)",3/26/1953,
0,Christine,Beerli,f,Bern,BE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Biel,Bern,"Grossrat Bern von 1986 bis 1991, Stadtrat Biel von 1980 bis 1983",12/4/1995,11/30/2003,"Thal (SG),Biel (BE)",3/26/1953,
1,Claude,Béglé,m,Waadt,VD,Nationalrat,CVP-Fraktion,C,Christlichdemokratische Volkspartei der Schweiz,CVP,verheiratet,Bern,Bern,,11/30/2015,,"Liestal (BL),Lausanne (VD)",12/4/1949,
0,Michel,Béguelin,m,Waadt,VD,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Boudry,Neuenburg,Comité directeur du PSS de 1985 à 1991,12/1/2003,12/2/2007,Tramelan (BE),8/1/1936,
0,Michel,Béguelin,m,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Boudry,Neuenburg,Comité directeur du PSS de 1985 à 1991,11/30/1987,12/3/1995,Tramelan (BE),8/1/1936,
0,Michel,Béguelin,m,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Boudry,Neuenburg,Comité directeur du PSS de 1985 à 1991,12/4/1995,12/5/1999,Tramelan (BE),8/1/1936,
0,Michel,Béguelin,m,Waadt,VD,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,Boudry,Neuenburg,Comité directeur du PSS de 1985 à 1991,12/6/1999,11/30/2003,Tramelan (BE),8/1/1936,
0,Thierry,Béguin,m,Neuenburg,NE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,La Chaux-de-Fonds,Neuenburg,Conseil général de 1976 à 1988,11/30/1987,12/5/1999,Rochefort (NE),12/2/1947,
0,Ernest,Béguin,m,Neuenburg,NE,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/6/1921,6/1/1942,Rochefort (NE),2/8/1879,4/18/1966
0,Louis,Béguin,m,Waadt,VD,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/1/1931,12/1/1935,St-Légier-La Chiésaz (VD),3/18/1879,1/29/1957
0,Ernest,Béguin,m,Neuenburg,NE,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/6/1921,6/1/1942,Rochefort (NE),2/8/1879,4/18/1966
0,Thierry,Béguin,m,Neuenburg,NE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,La Chaux-de-Fonds,Neuenburg,Conseil général de 1976 à 1988,11/30/1987,12/5/1999,Rochefort (NE),12/2/1947,
0,Ernest,Béguin,m,Neuenburg,NE,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/6/1921,6/1/1942,Rochefort (NE),2/8/1879,4/18/1966
0,Albert,Belmont,m,Basel-Stadt,BS,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/1/1919,12/6/1925,Schwyz (SZ),10/26/1875,9/26/1969
0,Eduard,Belser,m,Basel-Landschaft,BL,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,11/26/1979,11/29/1987,Kienberg (SO),8/1/1942,
0,Peter,Benninger,m,Freiburg,FR,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/3/1928,7/24/1937,"Jeuss (FR),Salvenach (FR)",1/12/1879,7/24/1937
0,Rudolf,Benz,m,Zürich,ZH,Nationalrat,Liberale demokratische Fraktion,LD,Liberale,Lib*,,,,,11/6/1848,12/5/1869,Pfungen (ZH),12/22/1810,6/14/1872
0,Nikolaus,Benziger,m,Schwyz,SZ,Nationalrat,,,Konservative,Kons*,,,,,4/2/1883,12/3/1905,Einsiedeln (SZ),2/19/1830,11/24/1908
0,Josef Karl,Benziger,m,Schwyz,SZ,Nationalrat,Mitte,MC,Konservative,Kons*,,,,,12/7/1863,12/2/1866,Einsiedeln (SZ),8/7/1821,7/23/1890
0,Nikolaus,Benziger,m,Schwyz,SZ,Ständerat,,,Konservative,Kons*,,,,,12/4/1905,11/24/1908,Einsiedeln (SZ),2/19/1830,11/24/1908
1,Didier,Berberat,m,Neuenburg,NE,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,11/30/2015,,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,12/1/2003,12/2/2007,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,12/4/1995,12/5/1999,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,12/6/1999,11/30/2003,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,9/21/2009,12/4/2011,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,12/5/2011,11/29/2015,Montignez (JU),12/1/1956,
0,Didier,Berberat,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,verheiratet,La Chaux-de-Fonds,Neuenburg,Législatif communal: depuis mai 1988 jusqu'à juillet 1988; Exécutif communal: depuis mai 2000 jusqu'à mai 2010 (Président: 2005 et 2010); Législatif cantonal: depuis avril 1989 jusqu'à novembre 1995,12/3/2007,9/20/2009,Montignez (JU),12/1/1956,
0,Heinrich,Berchtold,m,Zürich,ZH,Nationalrat,Fraktionslos,-,Liberale,Lib*,,,,,3/16/1896,6/22/1907,Seegräben (ZH),5/3/1844,6/22/1907
0,Jean N.-E.,Berchtold,m,Freiburg,FR,Ständerat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/4/1853,6/1/1854,Freiburg (FR),12/5/1789,9/27/1860
0,Louis-F.-J.-M.,Berdez,m,Waadt,VD,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,7/7/1873,1/1/1877,"Rossinière (VD),Vevey (VD)",12/29/1839,3/11/1905
0,Michèle-Irène,Berger,f,Neuenburg,NE,Ständerat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Neuenburg,Neuenburg,,12/6/1999,11/30/2003,Neuenburg (NE),12/3/1944,
0,Fritz,Berger,m,Basel-Stadt,BS,Nationalrat,Katholisch-Konservative Fraktion,K,Konservative,Kons*,,,,,12/3/1951,12/1/1963,Basel (BS),2/14/1897,9/3/1977
0,Claude,Berger,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,6/6/1955,12/3/1967,Neuenburg (NE),8/24/1921,9/10/1981
0,Gottlieb,Berger,m,Bern,BE,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/5/1881,11/30/1902,Langnau im Emmental (BE),12/29/1826,7/3/1903
0,Philippe-Henri,Berger,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/1/1919,12/6/1925,"Fontainemelon (NE),Oberthal (BE)",3/25/1883,1/30/1940
0,Jean-Pierre,Berger,m,Waadt,VD,Nationalrat,Fraktion der Schweizerischen Volkspartei,V,Schweizerische Volkspartei,SVP,,,,,11/28/1983,12/3/1995,"Thielle-Wavre (NE),Dompierre (FR)",1/1/1929,
0,Philippe-Henri,Berger,m,Neuenburg,NE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,3/23/1927,12/2/1928,"Fontainemelon (NE),Oberthal (BE)",3/25/1883,1/30/1940
0,Hermann,Berger,m,Solothurn,SO,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/2/1963,11/28/1971,"Olten (SO),Spiez (BE)",11/9/1905,7/22/1979
0,Gallus,Berger,m,Zürich,ZH,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/5/1955,11/28/1971,Sennwald (SG),4/10/1903,2/9/1982
0,Johann Georg,Berlinger,m,St. Gallen,SG,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/1/1890,8/29/1900,Ganterschwil (SG),12/10/1841,8/29/1900
0,Madeleine,Bernasconi,f,Genf,GE,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Genève 8,Genf,Parti Radical démocratique suisse; commune de Meyrin (législatif communal); commune de Meyrin (exécutif communal); Grand Conseil du canton de Géneve (législatif cantonal),12/6/1999,11/30/2003,Novazzano (TI),9/15/1939,
0,Cesare,Bernasconi,m,Tessin,TI,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/2/1855,10/1/1860,Chiasso (TI),5/11/1819,9/6/1864
0,Costantino,Bernasconi,m,Tessin,TI,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/1/1874,3/1/1875,Chiasso (TI),4/11/1820,6/20/1902
0,Costantino,Bernasconi,m,Tessin,TI,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,6/5/1882,10/1/1893,Chiasso (TI),4/11/1820,6/20/1902
0,Costantino,Bernasconi,m,Tessin,TI,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/7/1863,12/1/1872,Chiasso (TI),4/11/1820,6/20/1902
0,Friedrich,Bernet,m,St. Gallen,SG,Nationalrat,Demokratische Linke,DL,Grütlianer,Grüt*,,,,,7/4/1864,12/5/1869,St. Gallen (SG),2/21/1829,2/26/1872
0,John (Jean-M.-E.),Berney,m,Waadt,VD,Nationalrat,Linke,LG,Mitte links,MitteL*,,,,,12/7/1863,12/2/1866,"L'Abbaye (VD),Saubraz (VD)",4/23/1820,5/26/1917
0,Hans,Bernhard,m,Zürich,ZH,Ständerat,"Bauern,-Gewerbe- und Bürgerfraktion",BGB,"Bauern-, Gewerbe- und Bürgerpartei",BGB,,,,,2/19/1940,4/8/1942,Zürich (ZH),9/13/1888,4/8/1942
0,Urs,Bernhardsgrütter,m,St. Gallen,SG,Nationalrat,Grüne Fraktion,G,Grüne Partei der Schweiz,GPS,verheiratet,Uznach,St. Gallen,Legislative des Kantons: Februar 2000 - April 2006,6/6/2006,12/2/2007,Gossau (SG),7/28/1962,
0,Joseph Leonhard,Bernold,m,St. Gallen,SG,Nationalrat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/6/1848,12/6/1857,Walenstadt (SG),12/14/1809,2/19/1872
0,Joseph Leonhard,Bernold,m,St. Gallen,SG,Nationalrat,Mitte,MC,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/3/1860,2/19/1872,Walenstadt (SG),12/14/1809,2/19/1872
0,Hans,Bernoulli,m,Basel-Stadt,BS,Nationalrat,Fraktion des Landesrings,U,Landesring der Unabhängigen,LdU,,,,,12/1/1947,12/2/1951,Basel (BS),2/17/1876,9/12/1959
0,Sebastiano,Beroldingen,m,Tessin,TI,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/3/1860,2/1/1862,Mendrisio (TI),11/8/1818,9/29/1865
0,Sebastiano,Beroldingen,m,Tessin,TI,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/7/1856,12/6/1857,Mendrisio (TI),11/8/1818,9/29/1865
0,Alain,Berset,m,Freiburg,FR,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Freiburg,Freiburg,Législatif communal (conseil général) de Belfaux; depuis mars 2001 jusqu'à décembre 2003; Législatif cantonal (Assemblée Constituante): depuis mars 2000 jusqu'à mai 2004,12/1/2003,12/2/2007,Misery-Courtion (FR),4/9/1972,
0,Alain,Berset,m,Freiburg,FR,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Freiburg,Freiburg,Législatif communal (conseil général) de Belfaux; depuis mars 2001 jusqu'à décembre 2003; Législatif cantonal (Assemblée Constituante): depuis mars 2000 jusqu'à mai 2004,12/1/2003,12/2/2007,Misery-Courtion (FR),4/9/1972,
0,Alain,Berset,m,Freiburg,FR,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Freiburg,Freiburg,Législatif communal (conseil général) de Belfaux; depuis mars 2001 jusqu'à décembre 2003; Législatif cantonal (Assemblée Constituante): depuis mars 2000 jusqu'à mai 2004,12/5/2011,12/31/2011,Misery-Courtion (FR),4/9/1972,
0,Alain,Berset,m,Freiburg,FR,Ständerat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,Freiburg,Freiburg,Législatif communal (conseil général) de Belfaux; depuis mars 2001 jusqu'à décembre 2003; Législatif cantonal (Assemblée Constituante): depuis mars 2000 jusqu'à mai 2004,12/3/2007,12/4/2011,Misery-Courtion (FR),4/9/1972,
1,Alain,Berset,m,Freiburg,FR,Bundesrat,,,Sozialdemokratische Partei der Schweiz,SP,,Freiburg,Freiburg,Législatif communal (conseil général) de Belfaux; depuis mars 2001 jusqu'à décembre 2003; Législatif cantonal (Assemblée Constituante): depuis mars 2000 jusqu'à mai 2004,12/14/2011,,Misery-Courtion (FR),4/9/1972,
0,Henri,Bersier,m,Waadt,VD,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/3/1917,5/31/1924,"Cully (VD),Villarzel (VD),Lutry (VD)",5/17/1870,6/15/1941
0,Raymond,Bertholet,m,Genf,GE,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/2/1963,12/3/1967,Genf (GE),3/18/1909,12/26/1979
0,Henri,Berthoud,m,Neuenburg,NE,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,3/16/1931,11/30/1947,"Boudevilliers (NE),Neuenburg (NE)",4/17/1877,8/3/1948
0,Jean Ed.,Berthoud,m,Neuenburg,NE,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/1/1883,6/1/1889,"Boudevilliers (NE),Neuenburg (NE)",12/11/1846,6/21/1916
0,Henri,Berthoud,m,Neuenburg,NE,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,4/23/1923,12/2/1928,"Boudevilliers (NE),Neuenburg (NE)",4/17/1877,8/3/1948
0,Jean Ed.,Berthoud,m,Neuenburg,NE,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/7/1896,6/1/1908,"Boudevilliers (NE),Neuenburg (NE)",12/11/1846,6/21/1916
0,Fritz,Berthoud,m,Neuenburg,NE,Nationalrat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/2/1872,12/1/1878,Fleurier (NE),8/7/1812,1/18/1890
0,Fritz,Berthoud,m,Neuenburg,NE,Ständerat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/3/1871,5/1/1872,Fleurier (NE),8/7/1812,1/18/1890
0,Brenno,Bertoni,m,Tessin,TI,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,3/23/1914,3/1/1920,Lottigna (TI),8/7/1860,2/18/1945
0,Ambrogio,Bertoni,m,Tessin,TI,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/5/1852,2/1/1853,Lottigna (TI),8/25/1811,11/11/1887
0,Ambrogio,Bertoni,m,Tessin,TI,Ständerat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,7/4/1860,2/1/1862,Lottigna (TI),8/25/1811,11/11/1887
0,Brenno,Bertoni,m,Tessin,TI,Ständerat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,4/19/1920,12/1/1935,Lottigna (TI),8/7/1860,2/18/1945
0,Carl,Bertschinger,m,Zürich,ZH,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/3/1917,12/1/1935,Pfäffikon (ZH),6/16/1881,3/4/1960
0,F. Theodor,Bertschinger,m,Aargau,AG,Nationalrat,Mitte,MC,Liberale,Lib*,,,,,12/3/1866,12/1/1872,Lenzburg (AG),4/11/1814,12/12/1889
0,Kathrin,Bertschy,f,Bern,BE,Nationalrat,Grünliberale Fraktion,GL,Grünliberale Partei,glp,,Thun,Bern,Legislative der Stadt Bern: von Januar 2009 bis Dezember 2011,12/5/2011,11/29/2015,"Düdingen (FR),Bern (BE)",7/2/1979,
1,Kathrin,Bertschy,f,Bern,BE,Nationalrat,Grünliberale Fraktion,GL,Grünliberale Partei,glp,,Thun,Bern,Legislative der Stadt Bern: von Januar 2009 bis Dezember 2011,11/30/2015,,"Düdingen (FR),Bern (BE)",7/2/1979,
0,François,Besson,m,Genf,GE,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/7/1908,1/1/1910,Meyrin (GE),3/14/1859,7/10/1927
0,Roger,Besuchet,m,Waadt,VD,Nationalrat,Sozialdemokratische Fraktion,S,Sozialdemokratische Partei der Schweiz,SP,,,,,12/1/1975,11/25/1979,L'Abergement (VD),7/17/1928,6/29/2005
0,Gustave-François,Bettex,m,Waadt,VD,Nationalrat,Radikal-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/3/1917,3/18/1921,Combremont-le-Petit (VD),7/26/1868,3/18/1921
0,J.-François,Bettex,m,Waadt,VD,Nationalrat,Linke,LG,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,11/6/1848,11/30/1851,Combremont-le-Petit (VD),3/19/1816,3/13/1887
0,Duri,Bezzola,m,Graubünden,GR,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Scuol,Graubünden,Gemeinderat von Scuol 1983 bis 1990,12/4/1995,11/30/2003,"Scuol (GR),Zernez (GR)",6/23/1942,
0,Andreas,Bezzola,m,Graubünden,GR,Nationalrat,,,Freisinnig-Demokratische Partei der Schweiz,FDP,,,,,12/5/1881,12/3/1893,Zernez (GR),5/19/1840,1/10/1897
0,Duri,Bezzola,m,Graubünden,GR,Nationalrat,Freisinnig-demokratische Fraktion,R,Freisinnig-Demokratische Partei der Schweiz,FDP,verheiratet,Scuol,Graubünden,Gemeinderat von Scuol 1983 bis 1990,12/1/2003,3/4/2007,"Scuol (GR),Zernez (GR)",6/23/1942,
